Graph	Algorithm	RandomSeed	Solution	Time
Amazon0505	Greedy	9	941393	1574
Amazon0505	HCS+Greedy	1	938680	8109
Amazon0505	HCS+Greedy	10	938724	8075
Amazon0505	HCS+Greedy	2	938815	8040
Amazon0505	HCS+Greedy	3	938648	8068
Amazon0505	HCS+Greedy	4	938671	8160
Amazon0505	HCS+Greedy	5	938639	7970
Amazon0505	HCS+Greedy	6	938671	7779
Amazon0505	HCS+Greedy	7	938655	8143
Amazon0505	HCS+Greedy	8	938719	5967
Amazon0505	HCS+Greedy	9	938693	7945
Amazon0505	SimFASDC-12	1	918071	3083
Amazon0505	SimFASDC-12	10	918075	3053
Amazon0505	SimFASDC-12	2	918070	3123
Amazon0505	SimFASDC-12	3	918074	3089
Amazon0505	SimFASDC-12	4	918077	3106
Amazon0505	SimFASDC-12	5	918073	3063
Amazon0505	SimFASDC-12	6	918074	3208
Amazon0505	SimFASDC-12	7	918072	3067
Amazon0505	SimFASDC-12	8	918074	3108
Amazon0505	SimFASDC-12	9	918074	3082
Amazon0505	SimFASDC-16	1	918074	3120
Amazon0505	SimFASDC-16	10	918081	3074
Amazon0505	SimFASDC-16	2	918076	3098
Amazon0505	SimFASDC-16	3	918078	3037
Amazon0505	SimFASDC-16	4	918082	3073
Amazon0505	SimFASDC-16	5	918077	3080
Amazon0505	SimFASDC-16	6	918077	3101
Amazon0505	SimFASDC-16	7	918077	3013
Amazon0505	SimFASDC-16	8	918076	3121
Amazon0505	SimFASDC-16	9	918078	3137
Amazon0505	SimFASDC-24	1	918075	3095
Amazon0505	SimFASDC-24	10	918075	3099
Amazon0505	SimFASDC-24	2	918075	3108
Amazon0505	SimFASDC-24	3	918074	3090
Amazon0505	SimFASDC-24	4	918078	3127
Amazon0505	SimFASDC-24	5	918074	3083
Amazon0505	SimFASDC-24	6	918076	3070
Amazon0505	SimFASDC-24	7	918073	3097
Amazon0505	SimFASDC-24	8	918077	3141
Amazon0505	SimFASDC-24	9	918072	3121
